Work Order #,CE Work Order #,Installation,Facility Number,Facility Name,Room/Area,Request DateTime,Requesting Organization,Work Category,Trade,Priority Code,Problem Description,Requested Action,Mission Impact,Status,Assigned Shop,Actions Taken,Completion Date
USSPC-FAC-2026-0001,TRIRIGA-26-12001,Peterson SFB,3,Power Generation Facility 3,Control Room,2026-02-01 0310Z,USSPACECOM J6,Urgent,Fire Protection,3,Sprinkler head obstructed by stored materials in equipment room.,Clear obstructions from sprinkler head coverage area.,Yes � affects missile warning operations continuity.,In Progress,CE Fire Protection,,
USSPC-FAC-2026-0002,TRIRIGA-26-12002,Peterson SFB,198,Operations Building 198,Lobby,2026-02-01 0715Z,USSPACECOM J6,Routine,ESS,3,CCTV camera 31 offline; no video feed to security monitoring.,Troubleshoot camera fault and restore video feed.,Yes � supports satellite command and control systems.,Completed,CE ESS,Technician inspected ESS components. Identified controller firmware communication error. Replaced network cable and verified video feed. System tested end-to-end; all access points verified operational. Security notified of restoration.,2026-02-16
USSPC-FAC-2026-0003,TRIRIGA-26-12003,Buckley SFB,180,Mission Support Facility 180,Mechanical Room,2026-02-01 0905Z,USSPACECOM J6,Emergency,Plumbing,2,Water hammer occurring in supply piping when fixtures cycle.,Install water hammer arrestors and secure piping supports.,Yes � impacts secure communications capability.,Completed,CE Plumbing,Technician inspected and identified Found corroded pipe fitting at joint. Replaced pressure regulator and set to 55 PSI. System pressure tested and verified at normal operating range. No further leaks observed.,2026-02-03
USSPC-FAC-2026-0004,TRIRIGA-26-12004,Schriever SFB,155,Operations Building 155,Raised Floor Area,2026-02-01 1310Z,USSPACECOM J2,Urgent,Lighting,2,Parking lot light pole 19 dark; ballast or photocell suspected.,Replace ballast or photocell and restore pole light operation.,Potential � potential cascade failure if not addressed.,Submitted,CE Lighting,,
USSPC-FAC-2026-0005,TRIRIGA-26-12005,Vandenberg SFB,134,Range Control Facility 134,Ops Floor,2026-02-01 1405Z,USSPACECOM J3,Routine,Fire Protection,4,Fire alarm notification appliances inaudible in high-ambient-noise areas.,Adjust notification appliance output or add devices for coverage.,No � general facility maintenance.,Submitted,CE Fire Protection,,
USSPC-FAC-2026-0006,TRIRIGA-26-12006,Schriever SFB,220,Mission Support Building 220,Mechanical Room,2026-02-01 1435Z,USSPACECOM J6,Routine,HVAC,4,Compressor on chiller 4 showing end-of-life indicators; elevated discharge pressure.,Evaluate compressor condition; repair or replace as needed.,No � aesthetic/comfort issue only.,Completed,CE HVAC,"Technician responded and found Found dirty evaporator coil restricting airflow. Repaired leak, evacuated, and recharged to nameplate specification. System tested and verified operational at 88�F. All work per UFC 3-410-01.",2026-02-12
USSPC-FAC-2026-0007,TRIRIGA-26-12007,Vandenberg SFB,134,Range Control Facility 134,Ops Floor,2026-02-01 1515Z,USSPACECOM J4,Preventive Maintenance,Electrical,4,Automatic transfer switch failed to transfer during scheduled test.,Perform thermographic survey and document findings.,No � preventive maintenance.,Scheduled,CE Electrical,,
USSPC-FAC-2026-0008,TRIRIGA-26-12008,Vandenberg SFB,77,Secure Data Facility 77,Server Room B,2026-02-01 1625Z,USSPACECOM J4,Urgent,Lighting,2,Exterior security lighting inoperative on building north side.,Repair exterior security lighting and verify coverage.,Yes � delayed access to mission operations spaces.,Approved,CE Lighting,,
USSPC-FAC-2026-0009,TRIRIGA-26-12009,Buckley SFB,312,Operations Annex 312,Server Closet,2026-02-01 1705Z,USSPACECOM J2,Urgent,Electrical,3,Voltage sag measured at distribution panel; equipment brownouts reported.,Investigate voltage sag source and correct distribution issue.,Yes � supports satellite uplink equipment.,Completed,CE Electrical,Technician de-energized and inspected per NFPA 70E. Found ATS control board fault. Replaced failed battery cells and load tested string. System re-energized and tested under load; operating normally.,2026-02-03
USSPC-FAC-2026-0010,TRIRIGA-26-12010,Schriever SFB,220,Mission Support Building 220,Electrical Closet,2026-02-01 1845Z,USSPACECOM J4,Emergency,Structural,1,Overhead coiling door not tracking properly; binding intermittently.,Adjust door tracks and lubricate guide system.,Yes � delayed access to mission operations spaces.,Approved,CE Structural,,
USSPC-FAC-2026-0011,TRIRIGA-26-12011,Schriever SFB,302,Communications Facility 302,Equipment Room 1,2026-02-01 1910Z,USSPACECOM J3,Urgent,Fire Protection,3,Emergency exit sign non-illuminated in corridor section.,Replace emergency exit sign lamps and verify illumination.,Yes � degrades mission operations center readiness.,In Progress,CE Fire Protection,,
USSPC-FAC-2026-0012,TRIRIGA-26-12012,Vandenberg SFB,51,Launch Operations Building 51,Electrical Room,2026-02-01 2010Z,USSPACECOM J4,Urgent,Power Production,3,Generator exhaust leak detected at flexible coupling.,Repair exhaust leak and verify emissions containment.,Yes � degrades ground station equipment reliability.,In Progress,CE Power Production,,
USSPC-FAC-2026-0013,TRIRIGA-26-12013,Vandenberg SFB,51,Launch Operations Building 51,Electrical Room,2026-02-01 2155Z,USSPACECOM J4,Routine,Plumbing,4,Hot water temperature at fixtures below acceptable range; measured 91�F.,Diagnose hot water temperature issue and adjust or repair.,No � routine upkeep; no operational impact.,Approved,CE Plumbing,,
USSPC-FAC-2026-0014,TRIRIGA-26-12014,Vandenberg SFB,134,Range Control Facility 134,Mechanical Room,2026-02-01 2255Z,USSPACECOM J2,Urgent,ESS,2,CCTV camera 25 offline; no video feed to security monitoring.,Troubleshoot camera fault and restore video feed.,Yes � delayed access to mission operations spaces.,In Progress,CE ESS,,
USSPC-FAC-2026-0015,TRIRIGA-26-12015,Schriever SFB,400,Satellite Operations Facility 400,Ground Station Control Room,2026-02-01 2325Z,USSPACECOM J2,Routine,HVAC,3,Thermostat in zone 6 non-responsive; unable to maintain setpoint.,Replace thermostat and verify zone control operation.,No � personnel safety concern.,In Progress,CE HVAC,,
USSPC-FAC-2026-0016,TRIRIGA-26-12016,Peterson SFB,198,Operations Building 198,Electrical Room,2026-02-01 2345Z,USSPACECOM J6,Emergency,Plumbing,2,Isolation valve on chilled water loop will not fully close; stem corroded.,Replace isolation valve and verify system integrity.,Yes � impacts real-time telemetry processing.,Completed,CE Plumbing,Technician inspected and identified Found corroded pipe fitting at joint. Filled trap and installed trap primer. System pressure tested and verified at normal operating range. No further leaks observed.,2026-02-03
USSPC-FAC-2026-0017,TRIRIGA-26-12017,Buckley SFB,180,Mission Support Facility 180,Exterior Pad,2026-02-02 0220Z,USSPACECOM J3,Routine,Fire Protection,4,Sprinkler head obstructed by stored materials in equipment room.,Clear obstructions from sprinkler head coverage area.,Potential � could impact mission systems if leak reaches equipment.,In Progress,CE Fire Protection,,
USSPC-FAC-2026-0018,TRIRIGA-26-12018,Schriever SFB,302,Communications Facility 302,Electrical Room,2026-02-02 0310Z,USSPACECOM J3,Urgent,Lighting,2,LED retrofit fixture failed prematurely; driver humming audible.,Replace failed LED driver and fixture.,Potential � risk to nearby equipment if condition worsens.,Submitted,CE Lighting,,
USSPC-FAC-2026-0019,TRIRIGA-26-12019,Peterson SFB,198,Operations Building 198,Roof,2026-02-02 0840Z,USSPACECOM J3,Emergency,HVAC,1,Intermittent fault on CRAC unit 4; temperature cycling outside acceptable range.,Troubleshoot CRAC unit fault and restore environmental controls.,Yes � intermittent loss of operator consoles.,Completed,CE HVAC,Technician responded and found Identified refrigerant undercharge due to slow leak at service valve. Replaced VFD drive board and programmed to original parameters. System tested and verified operational at 83�F. All work per UFC 3-410-01.,2026-02-02
USSPC-FAC-2026-0020,TRIRIGA-26-12020,Vandenberg SFB,134,Range Control Facility 134,Mechanical Room,2026-02-02 0925Z,USSPACECOM J6,Urgent,Electrical,3,Conduit damage observed along exterior wall; wiring exposed to weather.,Repair conduit and reseal exterior penetration.,Yes � supports space domain awareness operations.,Submitted,CE Electrical,,
USSPC-FAC-2026-0021,TRIRIGA-26-12021,Vandenberg SFB,134,Range Control Facility 134,Exterior HVAC Pad,2026-02-02 1520Z,USSPACECOM J3,Emergency,HVAC,2,Degraded airflow detected in underfloor plenum; hot spots forming near rack rows.,Investigate underfloor airflow restriction and restore cooling distribution.,Yes � supports satellite uplink equipment.,Approved,CE HVAC,,
USSPC-FAC-2026-0022,TRIRIGA-26-12022,Peterson SFB,105,Communications Hub 105,Cable Vault,2026-02-02 1540Z,USSPACECOM J3,Urgent,Plumbing,2,Corrosion visible on exposed copper piping in mechanical chase.,Evaluate pipe corrosion and replace affected sections.,Yes � delayed access to mission operations spaces.,In Progress,CE Plumbing,,
USSPC-FAC-2026-0023,TRIRIGA-26-12023,Schriever SFB,400,Satellite Operations Facility 400,Ground Station Control Room,2026-02-02 1625Z,USSPACECOM J6,Urgent,Plumbing,3,Water hammer occurring in supply piping when fixtures cycle.,Install water hammer arrestors and secure piping supports.,Potential � potential cascade failure if not addressed.,In Progress,CE Plumbing,,
USSPC-FAC-2026-0024,TRIRIGA-26-12024,Buckley SFB,180,Mission Support Facility 180,Electrical Room,2026-02-02 1735Z,USSPACECOM J3,Emergency,ESS,1,Duress alarm button at post 1 non-functional during test.,Replace duress alarm switch and test signaling.,Yes � degrades ground station equipment reliability.,Approved,CE ESS,,
USSPC-FAC-2026-0025,TRIRIGA-26-12025,Schriever SFB,220,Mission Support Building 220,Restroom Wing,2026-02-02 1750Z,USSPACECOM J3,Routine,Fire Protection,4,Fire pump failed to start during weekly test sequence.,Troubleshoot fire pump controller and restore start capability.,No � quality of life issue; no mission degradation.,Completed,CE Fire Protection,Technician inspected system per NFPA 72/25 requirements. Found fire pump controller relay failure. Replaced control module and reprogrammed zone. System placed back in service and tested. All zones normal.,2026-02-08
